business_id,transaction_id,transaction_date,transaction_type,amount,created_date,created_user,account,a/r_paid,a/p_paid,due_date,open_balance,po_status,estimate_status,customer_name,vendor_name,product_service,quantity,rate,credit,debit,sale,purchase,billable,invoiced,cleared,payment_method,misc_(business_specific_fields)
2,6422,2010-12-27,Credit Card Credit,34985.71,2011-10-12,Evan Gibbs,Accounts Receivable (A/R),Paid,,2012-07-23,6468.78,,,Larry Mendoza,,,,,,34985.71,Yes,No,No,,,Discover,
2,6422,2010-12-27,Credit Card Credit,34985.71,2011-10-12,Evan Gibbs,Job Materials,Paid,,2012-07-23,6468.78,,,Larry Mendoza,,,94,302.85,28467.9,,Yes,No,No,,,Discover,
2,6422,2010-12-27,Credit Card Credit,34985.71,2011-10-12,Evan Gibbs,Hotels and motel services,Paid,,2012-07-23,6468.78,,,Larry Mendoza,,Casino Hotels,8,264.62,2116.96,,Yes,No,No,,,Discover,
2,6422,2010-12-27,Credit Card Credit,34985.71,2011-10-12,Evan Gibbs,Design income,Paid,,2012-07-23,6468.78,,,Larry Mendoza,,Design,15,292.69,4390.35,,Yes,No,No,,,Discover,
2,6422,2010-12-27,Credit Card Credit,34985.71,2011-10-12,Evan Gibbs,Loan Payable,Paid,,2012-07-23,6468.78,,,Larry Mendoza,,,,0.08,10.5,,Yes,No,No,,Uncleared,Discover,
2,1418,2011-10-20,Credit Card Expense,34985.71,2012-03-28,Evan Gibbs,Accounts Receivable (A/R),Paid,,2012-12-11,15702.31,,,Manuel Williams,,,,,,34985.71,Yes,No,No,,,American Express,
2,1418,2011-10-20,Credit Card Expense,34985.71,2012-03-28,Evan Gibbs,Uncategorized Income,Paid,,2012-12-11,15702.31,,,Manuel Williams,,,94,302.85,28467.9,,Yes,No,No,,,American Express,
2,1418,2011-10-20,Credit Card Expense,34985.71,2012-03-28,Evan Gibbs,Campground and RV park services,Paid,,2012-12-11,15702.31,,,Manuel Williams,,Camping and Parking,8,264.62,2116.96,,Yes,No,No,,,American Express,
2,1418,2011-10-20,Credit Card Expense,34985.71,2012-03-28,Evan Gibbs,Full-service restaurants,Paid,,2012-12-11,15702.31,,,Manuel Williams,,Drinking and Special Food,15,292.69,4390.35,,Yes,No,No,,,American Express,
2,1418,2011-10-20,Credit Card Expense,34985.71,2012-03-28,Evan Gibbs,Loan Payable,Paid,,2012-12-11,15702.31,,,Manuel Williams,,,,0.08,10.5,,Yes,No,No,,Uncleared,American Express,
2,6169,2023-02-20,Time Charge,34985.71,2023-11-02,Evan Gibbs,Accounts Receivable (A/R),Paid,,2024-10-08,11803.04,,,Gloria Garcia,,,,,,34985.71,Yes,No,No,,,American Express,
2,6169,2023-02-20,Time Charge,34985.71,2023-11-02,Evan Gibbs,Job Materials,Paid,,2024-10-08,11803.04,,,Gloria Garcia,,,94,302.85,28467.9,,Yes,No,No,,,American Express,
2,6169,2023-02-20,Time Charge,34985.71,2023-11-02,Evan Gibbs,Installation,Paid,,2024-10-08,11803.04,,,Gloria Garcia,,Installation,8,264.62,2116.96,,Yes,No,No,,,American Express,
2,6169,2023-02-20,Time Charge,34985.71,2023-11-02,Evan Gibbs,Other food services,Paid,,2024-10-08,11803.04,,,Gloria Garcia,,Foods on demand,15,292.69,4390.35,,Yes,No,No,,,American Express,
2,6169,2023-02-20,Time Charge,34985.71,2023-11-02,Evan Gibbs,Arizona Dept. of Revenue Payable,Paid,,2024-10-08,11803.04,,,Gloria Garcia,,,,0.08,10.5,,Yes,No,No,,Uncleared,American Express,
2,2135,2011-05-05,Purchase Order,34985.71,2012-04-22,Evan Gibbs,Accounts Receivable (A/R),Paid,,2013-02-24,1168.55,,,Anna Gordon,,,,,,34985.71,Yes,No,No,,,Visa,
2,2135,2011-05-05,Purchase Order,34985.71,2012-04-22,Evan Gibbs,Uncategorized Income,Paid,,2013-02-24,1168.55,,,Anna Gordon,,,94,302.85,28467.9,,Yes,No,No,,,Visa,
2,2135,2011-05-05,Purchase Order,34985.71,2012-04-22,Evan Gibbs,Full-service restaurants,Paid,,2013-02-24,1168.55,,,Anna Gordon,,Drinking and Special Food,8,264.62,2116.96,,Yes,No,No,,,Visa,
2,2135,2011-05-05,Purchase Order,34985.71,2012-04-22,Evan Gibbs,Street vending locations,Paid,,2013-02-24,1168.55,,,Anna Gordon,,Street vendoring,15,292.69,4390.35,,Yes,No,No,,,Visa,
