business_id,customer_name,customer_full_name,billing_address,billing_city,billing_state,billing_zip_code,shipping_address,shipping_city,shipping_state,shipping_zip_code,balance
2,Valerie Kline,Valerie Kline,63755 Todd Course,North Teresastad,MT,12753,3928 Jones Fall Suite 223,Mosleymouth,KS,97173,
2,Greg Cardenas,Greg Cardenas,1295 Jorge Glens,Lake Phillip,CA,97707,1613 David Pass Apt. 693,New Michael,WV,55587,
2,Mr. Zachary Levy,Mr. Zachary Levy,Unit 4062 Box 5906,DPO,AE,37143,00251 Brenda Divide,South Kellyland,AK,62826,
2,Taylor Hughes,Taylor Hughes,5925 Marshall Well,East Janetshire,SD,19616,67409 Michelle Freeway Apt. 616,Port Angela,NH,35634,
2,Jodi Bishop,Jodi Bishop,7202 Smith Alley Apt. 719,North Shari,TX,94472,640 Adams Hill Apt. 398,North Vicki,AZ,35859,
2,Andrew Flores,Andrew Flores,8372 Nancy Center,Lake Diane,MS,91857,33397 Alvarez Throughway Apt. 878,Lake Kristinaland,WY,51418,
2,Earl Lee,Earl Lee,350 Amanda Cove Apt. 426,Amyfort,NC,41664,920 Morgan Heights,Port Dawn,FL,76696,
2,Thomas Jackson,Thomas Jackson,USCGC Mccarty,FPO,AA,30642,823 Jordan Vista,New Beverly,SD,26836,
2,Jason Johnson,Jason Johnson,3997 Carol Lock,Amandaside,SD,1845,103 Howard Loaf Suite 300,Leeland,CA,98478,
2,Craig Greer,Craig Greer,747 Woods Corners Apt. 732,Lake Jonathanhaven,IA,46756,4336 Randall Points Suite 874,Oconnorstad,KY,47733,
2,Jeffrey Fisher,Jeffrey Fisher,"PSC 2288, Box 7468",APO,AE,15555,23891 William Ville,Reedmouth,OK,24626,
2,Amber Gilbert,Amber Gilbert,1319 Donna Stravenue,West Peter,NC,37429,717 Reynolds Freeway Apt. 589,Ginaberg,CA,21739,
2,Jennifer Barrera,Jennifer Barrera,172 Robyn Route,Harriston,WY,34846,512 James Roads,South Austin,GA,41886,
2,Tammy Haynes,Tammy Haynes,4895 Kathryn Freeway Suite 980,Martintown,KY,19365,0932 Luis Ville Suite 656,North Patrick,MH,97235,
2,Amanda Simmons,Amanda Simmons,006 Nash Stravenue Suite 738,New Ralph,PR,71074,719 Smith Wall Suite 361,New Lindastad,WA,70783,
2,Christopher Berry,Christopher Berry,42911 Whitaker Turnpike,Jefferychester,NJ,37466,USS Clark,FPO,AA,54812,
2,Selena Simmons,Selena Simmons,68637 Christina Ramp Apt. 223,South Kristinaport,ND,95880,05285 Key Locks Suite 609,South John,MO,15815,
2,Crystal Rosario,Crystal Rosario,5172 Tara Inlet,Gonzalesville,WA,68303,80956 Perez Coves Suite 042,Bryantchester,NJ,47400,
2,Dale Hall,Dale Hall,951 Ramirez Overpass Apt. 447,New Michaelberg,NM,4437,USNS Bird,FPO,AE,11238,
2,Isaac Baker,Isaac Baker,07126 Cook Forges,Melissashire,KY,97474,508 Wong Dam Apt. 044,Victoriaburgh,ID,57272,
2,Lori Pope,Lori Pope,332 Sanchez Oval,Williamsburgh,KY,65072,29945 Ferguson Meadows Apt. 505,Alexisview,SD,59325,
2,Christine Kaiser,Christine Kaiser,0063 Jordan Garden Suite 510,Port Kellyberg,MS,45228,002 Hayes Forks Suite 268,Michaeltown,MS,15685,
2,Alexander Woods,Alexander Woods,2026 Arnold Springs,North Dylanchester,GU,47421,74877 Myers Corners Suite 224,Malonefurt,FL,71884,
2,Kyle Bradshaw,Kyle Bradshaw,21525 Johnson Square Suite 138,Lake Jonathanville,MA,74834,497 Javier Curve,South Lanceborough,VA,30330,
2,Todd Cruz,Todd Cruz,2772 Lauren Islands,Port Mitchellville,IL,78542,60484 Kevin Inlet Apt. 158,Sheltonville,WY,41994,
2,Daniel Foster,Daniel Foster,89656 Megan Spur,West Travis,NH,9531,05541 Edwards Forges,Barnesstad,DE,60724,
2,Franklin King,Franklin King,020 Decker Highway,Booneburgh,DE,45848,166 Thompson Plaza,South Cole,DC,44975,
2,Jack Martinez,Jack Martinez,97140 Maynard Way Apt. 522,Tammieville,KS,39260,72411 Kelly Rapid,Lake Williamburgh,KS,62371,
2,Tyler Munoz,Tyler Munoz,USNV Ruiz,FPO,AA,8533,688 Farrell Villages Suite 417,Cassandrachester,LA,92719,
2,Michelle Johnson,Michelle Johnson,"PSC 0598, Box 8523",APO,AP,47919,8883 Lambert Points Suite 380,Port Victoria,SC,8967,
2,Robert Sherman,Robert Sherman,78475 Fox Junction Apt. 537,Garnermouth,PA,16254,39012 Samantha Passage Apt. 820,Sharpview,VA,65984,
2,Michelle Brown,Michelle Brown,06756 Foster Tunnel,Mcknightbury,WY,47732,6310 Deanna Lane Apt. 236,Robertmouth,VI,32689,
2,William Grant,William Grant,706 Snyder Overpass,Chavezville,SC,1158,22992 Alexander Burgs,Wanghaven,VI,73482,
2,Allison Chapman,Allison Chapman,8460 Nunez Turnpike Apt. 663,Lake Jamesfort,VA,67506,1441 Kenneth Mill Apt. 635,North Jennifershire,DE,17738,
2,Tina Haynes,Tina Haynes,0067 Mcgee Prairie,East Angela,MI,71890,"PSC 0701, Box 3428",APO,AE,65112,
2,Amanda George MD,Amanda George MD,812 Victoria Loaf Suite 826,Samanthafort,ID,82098,5464 Chase Pike,Lake Joel,MA,31916,
2,Alexander Lawrence,Alexander Lawrence,Unit 4791 Box 4965,DPO,AP,775,77617 Gonzalez Turnpike Suite 084,Port Mathewchester,ND,75630,
2,Anthony Brown,Anthony Brown,53871 Kimberly Point,West Antonio,SD,57430,5148 Park Fields Suite 384,Port Beverlymouth,NH,68101,
2,Alyssa Henderson,Alyssa Henderson,86733 Cole Plaza,Keithshire,AR,75021,"PSC 2829, Box 4037",APO,AP,12922,
2,Vickie Smith,Vickie Smith,25445 Hart Isle,Catherinestad,MN,90853,0465 Linda Plains Apt. 283,Timothyton,VT,84832,
2,Jordan Kennedy,Jordan Kennedy,113 Yang Springs Apt. 095,Youngtown,NE,83949,900 Brittany Prairie Apt. 568,Matthewland,FL,50648,
2,Barbara Stone,Barbara Stone,726 Juarez Pike,Deniseshire,NY,94793,7459 Emily Coves,Port Donaldborough,CO,16264,
2,Maurice Jones,Maurice Jones,764 Teresa Shoals,Reedside,TN,33073,4411 Kenneth Loop,Port Crystal,ND,52901,
2,Maria Crawford,Maria Crawford,USNV Moore,FPO,AA,83490,4201 Ball Pike Suite 812,Lake Scott,MS,93752,
2,Hailey Rose,Hailey Rose,22067 Christina Highway Suite 170,Bellport,UT,2556,6004 Griffin Parkways Apt. 251,Lake Dakotamouth,MA,91545,
