business_id,employee_name,employee_id,hire_date,billing_rate,deleted
2,Jason Wilson,JAS670,03/12/1993,,No
2,Joseph Castillo,JOS686,12/10/2000,,Yes
2,Jerry Miller,JER548,01/20/2021,,Yes
2,Donna Rivas,DON398,12/05/1991,,No
2,Ashlee Garcia,ASH530,11/02/2006,,No
2,Kimberly Torres,KIM228,11/21/1992,,No
2,Jennifer Tanner,JEN864,12/08/1991,,No
2,Carolyn Yates,CAR663,04/27/1996,,Yes
2,Taylor Kennedy,TAY738,06/17/2017,,Yes
2,Anna Washington,ANN361,09/21/2002,,No
2,Lee Rice,LEE612,05/11/2011,,No
2,Timothy Coleman,TIM145,08/14/2022,,No
2,Shawn Schwartz,SHA796,12/26/2020,,No
2,Jessica Lewis,JES719,08/13/2004,,No
2,Amanda Tanner,AMA892,03/05/2002,,Yes
2,Nancy Mejia,NAN135,01/19/1993,,Yes
2,David White,DAV810,11/24/2021,,Yes
2,Jose Hale,JOS486,04/20/1992,,Yes
2,Tina Santos,TIN405,03/01/1995,,Yes
2,Robert Kemp,ROB470,04/18/1992,,No
2,Evan Smith,EVA413,07/11/2002,,No
2,John Anderson,JOH577,09/12/2014,,Yes
2,Chris Frye,CHR880,08/09/1996,,No
2,Theresa Martin,THE429,07/22/2011,,Yes
2,Brian Martin,BRI743,10/11/2019,,No
2,Laura Miller,LAU819,08/05/2016,,No
2,John Collins,JOH652,12/05/2010,,Yes
2,Caleb Hill,CAL235,02/28/1991,,Yes
2,Connor Gordon,CON326,02/24/2023,,No
2,Veronica Carpenter,VER163,07/01/2003,,Yes
2,Mikayla Hernandez,MIK244,05/28/2020,,No
2,Stephanie Schwartz,STE827,08/03/2003,,No
2,Ashley Wilson,ASH721,12/15/2020,,No
2,Lindsay Mcdonald,LIN975,03/21/2009,,No
2,Russell Fowler,RUS562,01/12/2022,,No
2,Eric Perez,ERI387,07/01/1994,,No
2,Michele Wells,MIC853,09/11/2013,,Yes
2,Jared Henry,JAR197,11/04/2010,,No
2,John Hunter,JOH458,08/09/1994,,No
2,Melissa Gutierrez,MEL270,07/27/2022,,Yes
2,Mr. Robert Wilson,MR.230,05/07/2002,,Yes
2,Tony Zimmerman,TON360,01/27/2019,,No
2,Connie Young,CON696,07/22/1994,,No
2,Beth Massey,BET658,09/10/2009,,No
2,Tammy White,TAM595,11/08/2002,,Yes
2,Larry Allen,LAR769,05/08/2001,,No
2,Kara Bonilla,KAR196,12/22/2021,,No
2,Thomas Wright,THO492,07/20/2004,,No
2,Aaron Williams,AAR632,07/18/2002,,Yes
2,Tasha Shelton,TAS729,04/10/2000,,Yes
2,Michael Murphy,MIC635,07/17/2000,,No
2,Lynn Benson,LYN188,06/28/2000,,No
2,Mr. Roberto White,MR.838,02/06/2001,,Yes
2,Donald Moreno,DON623,06/09/1995,,Yes
2,Jason Bennett,JAS530,11/19/1990,,Yes
2,Gary Gentry,GAR222,03/07/2017,,Yes
2,Dr. Timothy Bennett,DR.538,03/04/1996,,Yes
2,Jeffrey Stevens,JEF449,11/04/1990,,No
2,Roberto Lowe,ROB201,03/03/2014,,No
2,Jennifer Turner,JEN641,04/17/2011,,No
2,Donna Shepard,DON587,10/20/2015,,No
2,Mrs. Kari Smith,MRS765,07/24/2005,,Yes
2,Sheryl Hopkins,SHE845,01/01/1991,,No
2,Samantha Cruz,SAM233,11/07/2008,,No
2,Kelsey Anderson,KEL899,08/05/2003,,No
2,Shannon Huff,SHA918,08/19/2021,,Yes
2,Jamie Sanders,JAM133,09/11/2022,,Yes
2,Gary Hernandez,GAR701,01/17/2016,,No
2,Rachel Davis,RAC703,03/03/2013,,Yes
2,Samantha Holden,SAM692,09/26/2006,,Yes
2,Jay Ward,JAY940,06/11/2007,,No
2,Jacqueline Herman,JAC280,12/01/1994,,Yes
2,Molly Munoz,MOL649,07/06/2013,,No
2,Ralph Stewart,RAL738,03/16/2000,,Yes
2,Brenda Bailey,BRE967,03/17/2003,,No
2,Brittany Smith,BRI321,01/23/2011,,Yes
2,Michael Taylor,MIC484,10/28/1991,,Yes
2,Alexander Hopkins,ALE626,10/13/1992,,Yes
2,John Butler,JOH515,06/07/2018,,No
2,Joseph Jenkins,JOS256,02/24/2020,,Yes
2,Jenna Stuart,JEN152,08/17/1995,,Yes
2,Tyler Watkins,TYL326,02/19/1995,,No
2,Kyle Oconnell,KYL790,09/08/2020,,Yes
2,Jerome Edwards,JER564,02/25/1995,,Yes
2,Elizabeth Chavez,ELI257,06/07/2023,,No
2,Colin Wilson,COL312,09/05/1993,,No
2,David Shaw,DAV919,10/20/2005,,No
2,Justin Huerta,JUS615,10/18/2006,,Yes
2,Ronnie Gaines,RON898,12/14/2020,,No
2,Marcus Hester,MAR807,08/09/2012,,Yes
2,Christopher Holt,CHR532,11/06/1991,,No
2,Dana Pena,DAN373,04/22/2016,,No
2,Joshua Bautista,JOS152,01/22/2019,,Yes
2,Shirley Ray,SHI578,01/23/1995,,No
2,Anthony Mckinney,ANT272,12/02/2009,,No
2,Gerald Patel,GER344,10/21/2011,,No
2,Mary Rodriguez,MAR785,10/13/2019,,No
2,Lisa Gilbert,LIS146,07/15/2020,,Yes
2,Timothy Hayden,TIM134,01/06/2011,,Yes
2,Katherine Middleton,KAT570,03/27/2020,,No
