business_id,transaction_id,transaction_date,transaction_type,amount,created_date,created_user,account,a/r_paid,a/p_paid,due_date,open_balance,po_status,estimate_status,customer_name,vendor_name,product_service,quantity,rate,credit,debit,sale,purchase,billable,invoiced,cleared,payment_method,misc_(business_specific_fields)
15,84824,1995-09-02,Sales Receipt,31397.33,1995-11-24,Katrina Dennis,Accounts Receivable (A/R),Paid,,1996-05-15,26857.51,,,Jason Bryan,,,,,,31397.329999999998,Yes,No,No,,,Discover,
15,84824,1995-09-02,Sales Receipt,31397.33,1995-11-24,Katrina Dennis,Towboat and tugboat rental or leasing,Paid,,1996-05-15,26857.51,,,Jason Bryan,,Towboat,31,330.57,10247.67,,Yes,No,No,,,Discover,
15,84824,1995-09-02,Sales Receipt,31397.33,1995-11-24,Katrina Dennis,Uncategorized Income,Paid,,1996-05-15,26857.51,,,Jason Bryan,,,60,191.8,11508.0,,Yes,No,No,,,Discover,
15,84824,1995-09-02,Sales Receipt,31397.33,1995-11-24,Katrina Dennis,Labor,Paid,,1996-05-15,26857.51,,,Jason Bryan,,,28,343.97,9631.16,,Yes,No,No,,,Discover,
15,84824,1995-09-02,Sales Receipt,31397.33,1995-11-24,Katrina Dennis,Loan Payable,Paid,,1996-05-15,26857.51,,,Jason Bryan,,,,0.08,10.5,,Yes,No,No,,Uncleared,Discover,
15,83034,2004-02-05,Credit Card Expense,31397.33,2004-06-04,Katrina Dennis,Accounts Receivable (A/R),Paid,,2004-12-21,7055.81,,,Elizabeth Hill,,,,,,31397.329999999998,Yes,No,No,,,Diners Club,
15,83034,2004-02-05,Credit Card Expense,31397.33,2004-06-04,Katrina Dennis,Uncategorized Income,Paid,,2004-12-21,7055.81,,,Elizabeth Hill,,,31,330.57,10247.67,,Yes,No,No,,,Diners Club,
15,83034,2004-02-05,Credit Card Expense,31397.33,2004-06-04,Katrina Dennis,Barge rental or leasing,Paid,,2004-12-21,7055.81,,,Elizabeth Hill,,Barge,60,191.8,11508.0,,Yes,No,No,,,Diners Club,
15,83034,2004-02-05,Credit Card Expense,31397.33,2004-06-04,Katrina Dennis,Installation,Paid,,2004-12-21,7055.81,,,Elizabeth Hill,,Installation,28,343.97,9631.16,,Yes,No,No,,,Diners Club,
15,83034,2004-02-05,Credit Card Expense,31397.33,2004-06-04,Katrina Dennis,Loan Payable,Paid,,2004-12-21,7055.81,,,Elizabeth Hill,,,,0.08,10.5,,Yes,No,No,,Uncleared,Diners Club,
15,84425,2018-11-29,Bill Payment (Check),31397.33,2019-02-09,Katrina Dennis,Accounts Receivable (A/R),Paid,,2020-01-30,2867.46,,,Richard Hansen,,,,,,31397.329999999998,Yes,No,No,,,Visa,
15,84425,2018-11-29,Bill Payment (Check),31397.33,2019-02-09,Katrina Dennis,Uncategorized Income,Paid,,2020-01-30,2867.46,,,Richard Hansen,,,31,330.57,10247.67,,Yes,No,No,,,Visa,
15,84425,2018-11-29,Bill Payment (Check),31397.33,2019-02-09,Katrina Dennis,Fees Billed,Paid,,2020-01-30,2867.46,,,Richard Hansen,,,60,191.8,11508.0,,Yes,No,No,,,Visa,
15,84425,2018-11-29,Bill Payment (Check),31397.33,2019-02-09,Katrina Dennis,Design income,Paid,,2020-01-30,2867.46,,,Richard Hansen,,Design,28,343.97,9631.16,,Yes,No,No,,,Visa,
15,84425,2018-11-29,Bill Payment (Check),31397.33,2019-02-09,Katrina Dennis,Arizona Dept. of Revenue Payable,Paid,,2020-01-30,2867.46,,,Richard Hansen,,,,0.08,10.5,,Yes,No,No,,Uncleared,Visa,
15,86571,1994-09-06,Invoice,31397.33,1994-10-31,Katrina Dennis,Accounts Receivable (A/R),Paid,,1995-08-17,15383.87,,,Pamela Christensen,,,,,,31397.329999999998,Yes,No,No,,,American Express,
15,86571,1994-09-06,Invoice,31397.33,1994-10-31,Katrina Dennis,Towboat and tugboat rental or leasing,Paid,,1995-08-17,15383.87,,,Pamela Christensen,,Towboat,31,330.57,10247.67,,Yes,No,No,,,American Express,
15,86571,1994-09-06,Invoice,31397.33,1994-10-31,Katrina Dennis,Fees Billed,Paid,,1995-08-17,15383.87,,,Pamela Christensen,,,60,191.8,11508.0,,Yes,No,No,,,American Express,
15,86571,1994-09-06,Invoice,31397.33,1994-10-31,Katrina Dennis,Oil field machinery and equipment rental or leasing,Paid,,1995-08-17,15383.87,,,Pamela Christensen,,Oil field Machinery,28,343.97,9631.16,,Yes,No,No,,,American Express,
