business_id,customer_name,customer_full_name,billing_address,billing_city,billing_state,billing_zip_code,shipping_address,shipping_city,shipping_state,shipping_zip_code,balance
15,Maurice Stephens,Maurice Stephens,43746 Collins Radial Suite 657,Lake Reginald,AS,28587,USS Murphy,FPO,AA,37070,
15,Richard Fernandez,Richard Fernandez,898 Jennifer Fork,Port Margaret,LA,59774,538 Richardson Plains,New Ashleyport,WV,76699,
15,Michelle Gonzales,Michelle Gonzales,2178 Tony Mountains Suite 925,Garciatown,PA,65474,USCGC Jones,FPO,AP,71279,
15,Alexander Pope,Alexander Pope,58715 Carter Curve Suite 971,Murrayburgh,ID,63590,62364 Spence Coves Apt. 355,Craigview,AS,36366,
15,Dawn Evans,Dawn Evans,5770 Diane Grove,Floresview,AK,42901,641 Reyes Square Apt. 957,Lake Meganberg,LA,21214,
15,Andrew Wood,Andrew Wood,005 Robert Stream Apt. 706,Johnville,MP,67531,120 Matthew Underpass,Lake Linda,TN,53115,
15,Jennifer Scott,Jennifer Scott,554 Stephanie Shoals,Benjaminport,WI,63945,46722 Samantha View Suite 752,Williamshaven,AL,3461,
15,Aaron Reynolds,Aaron Reynolds,160 Castro Point,Bradleytown,CT,9918,"PSC 2975, Box 6892",APO,AE,62571,
15,Maria Contreras,Maria Contreras,264 Kristie Mall,West Baileyfort,AK,56301,484 Gregory Street,New Natalie,AZ,46394,
15,Monique Miller,Monique Miller,7976 John Village Apt. 111,Johnsonshire,PA,10774,USCGC Lane,FPO,AP,87418,
15,Robert Yoder,Robert Yoder,00215 Dawn Divide Apt. 726,Port Sarahport,NV,97777,6352 Melissa Camp,Danielleport,DC,5351,
15,Christina Hanna,Christina Hanna,3563 Wilson Path,South Lauren,KY,55329,"PSC 0682, Box 4358",APO,AP,98959,
15,Reginald Schneider,Reginald Schneider,9488 Diaz Extension,Colleenchester,TX,46476,074 Jackson Harbor Apt. 816,Carrilloview,FL,3736,
15,Francisco Li,Francisco Li,725 Miller Village Suite 680,New Sandra,TN,26802,6991 Kevin Spurs,Stephanieburgh,VT,49923,
15,Jennifer Hart MD,Jennifer Hart MD,33388 Jones Shores Apt. 927,Matthewsport,OK,61037,03579 Richard Harbors,Wagnerview,WI,53146,
15,Kevin Oconnor,Kevin Oconnor,6577 Amanda Walks,Derrickmouth,GU,94142,9621 Herrera Route Apt. 007,Johnsonfort,TX,27340,
15,Julian Wilson,Julian Wilson,57968 Hamilton Fork,Devonborough,IL,16523,21747 Smith Ridge Suite 942,West Samantha,MN,28740,
15,Aaron Lewis,Aaron Lewis,81437 Sandoval Divide,South Stephanie,GA,48702,561 Cory Radial,Tarachester,NE,24235,
15,Tracy Wade,Tracy Wade,42341 Roger Forges,East Frankfurt,PA,88461,1616 Alvarez Estate Suite 197,Campbellchester,DC,7964,
15,Andrew Rose,Andrew Rose,282 Morton Walk,East Makayla,UT,59760,8471 John Vista,Ericchester,UT,30367,
15,Jeremy Thomas,Jeremy Thomas,88528 David Drives Apt. 136,North Kennethmouth,KY,81952,5674 Greg Dam,West Edwardbury,AZ,842,
15,Jaime Smith,Jaime Smith,32602 Robinson Pike,Mckeestad,ME,94958,68738 Joseph Via,West Jeffrey,MD,69872,
15,Rose Davenport,Rose Davenport,782 Lowe Plains Suite 539,Reedberg,ID,64760,652 Edwards Road,North John,MI,59881,
15,Michael Phillips,Michael Phillips,7830 Walton Shoal,Scottstad,NM,54103,84331 Nunez Forges Apt. 817,East Pamelaside,KY,65966,
15,Kyle Wallace,Kyle Wallace,003 James Glen Apt. 143,Hernandezstad,PW,30346,247 Williams Shoal,Robertstad,NJ,82716,
15,Katherine Perez,Katherine Perez,53099 Gutierrez Well Apt. 173,Port David,MI,50304,163 Young Ways Suite 007,West Troy,SC,35574,
15,Patrick Smith,Patrick Smith,66163 Michael Neck Suite 513,Monicaland,WI,14845,847 Baker Junctions Apt. 671,Port Amyburgh,MS,63071,
15,Kimberly Carter,Kimberly Carter,07170 Dodson Locks,North Karifort,NV,27309,1983 Stokes Loop Apt. 001,Wilsonport,SC,61263,
15,Charles Good,Charles Good,33278 Carl Grove,Catherinemouth,NY,9983,18374 Christopher Park,North Chelseafort,MH,50197,
15,Richard Dorsey,Richard Dorsey,1564 Todd Causeway Apt. 656,Josephfort,MI,33029,259 Roach Landing,West Benjamintown,OH,5920,
15,Rachael Adams,Rachael Adams,74575 Eric Roads Suite 258,Port Daniel,VI,43091,6673 Jones Key,Jonesburgh,RI,39168,
