business_id,employee_name,employee_id,hire_date,billing_rate,deleted
15,William Garcia,WIL622,08/17/2003,,No
15,William Smith,WIL977,06/17/2003,,No
15,Timothy Lozano,TIM737,06/16/2015,,No
15,Keith Lee,KEI643,04/08/2000,,Yes
15,Kimberly Bryant,KIM151,03/25/2012,,Yes
15,Morgan Watson,MOR429,04/11/2001,,Yes
15,Anthony Cantrell,ANT433,04/17/2005,,No
15,Michael Wilson,MIC109,03/03/2002,,Yes
15,Brent Taylor,BRE364,05/03/2008,,No
15,Alyssa Brown,ALY402,11/06/2013,,No
15,James Smith,JAM481,03/24/2003,,No
15,Derek Sanders,DER411,07/27/2022,,No
15,Carol Huff,CAR734,04/06/1996,,Yes
15,Jasmine Shelton,JAS251,09/28/2020,,Yes
15,Kimberly Lynch,KIM752,10/08/2009,,No
15,Justin Garcia,JUS250,09/17/1994,,No
15,Melissa Preston,MEL965,04/24/1993,,No
15,Justin Conner,JUS876,11/02/2009,,Yes
15,Gabriel Carlson,GAB412,04/20/2002,,No
15,Melanie Gonzalez,MEL389,01/08/1990,,Yes
15,Reginald Smith,REG304,10/02/2000,,Yes
15,Frederick Anderson,FRE893,08/11/2018,,Yes
15,Hayden Douglas,HAY283,05/05/2017,,No
15,Douglas Mcclain,DOU177,12/16/1996,,Yes
15,Jennifer Marshall,JEN108,05/04/1998,,Yes
15,Martin Shepherd,MAR335,03/11/2018,,Yes
15,Melissa Ortega,MEL765,06/19/2012,,Yes
15,Dr. James Watts MD,DR.436,12/05/2006,,Yes
15,Zachary Weber,ZAC407,03/06/1993,,Yes
15,Kathy Coleman,KAT568,02/15/1999,,Yes
15,Christopher Jackson,CHR536,09/01/2020,,Yes
15,Stacy Mcclain,STA872,10/19/1997,,Yes
15,Catherine Butler,CAT661,02/20/1998,,No
15,Ashley George,ASH607,07/17/2009,,Yes
15,Billy Powell,BIL965,07/23/2005,,No
15,Kelly Owens,KEL113,09/26/1998,,Yes
15,Jason Mccann,JAS891,06/21/2022,,No
15,Michael Santos,MIC620,02/12/2010,,No
15,Christopher Brown,CHR160,04/17/2011,,No
15,Adrian Cobb,ADR537,10/26/1998,,No
15,Jonathan Bryan,JON152,07/15/2016,,Yes
15,Michael Erickson III,MIC267,12/16/2004,,No
15,William Allen,WIL410,08/20/2000,,No
15,Christopher Clark,CHR371,03/24/2000,,No
15,Tracy Garcia,TRA396,08/06/1994,,No
15,Richard Carson,RIC627,01/05/1997,,Yes
15,Michael Lynch,MIC959,07/13/2007,,Yes
15,Robert Smith,ROB173,04/11/2018,,No
15,Brian Hall,BRI916,10/05/2023,,No
15,Brittany Myers,BRI237,08/18/2000,,No
15,John Anderson,JOH840,11/06/1990,,No
15,Michelle Sims,MIC277,03/25/1990,,Yes
15,Elizabeth Acosta,ELI201,08/26/1992,,No
15,Ellen Lewis DDS,ELL794,04/19/2022,,No
15,Sharon Logan,SHA848,01/21/1998,,No
15,Michael Wilson,MIC970,10/10/2019,,Yes
15,Marie Adams,MAR475,07/01/2000,,Yes
15,Hunter West,HUN363,06/20/1990,,No
15,Erica Elliott,ERI863,09/23/1993,,Yes
15,Samuel Pena,SAM175,11/06/1990,,No
15,Danielle Charles,DAN210,10/21/2007,,No
15,Andrew Robinson,AND964,04/23/1994,,No
15,Yolanda Russell,YOL916,02/12/2012,,No
15,James Rodriguez,JAM535,01/17/2021,,No
15,Amy Carpenter,AMY830,01/07/2020,,No
15,Tyler Medina,TYL438,05/10/2006,,No
15,Stacy Horton,STA559,11/20/1998,,No
15,Chad Mcclure,CHA816,06/15/2016,,Yes
15,William Sanchez,WIL409,09/12/1993,,No
15,James Brooks,JAM212,07/22/2017,,Yes
15,Leah Davis,LEA904,01/10/2012,,No
15,David Green,DAV159,04/14/2006,,Yes
15,Joshua White,JOS102,10/22/2016,,Yes
15,Laura Kim,LAU888,06/24/1990,,Yes
15,Steven Perry,STE752,02/09/2017,,No
15,Micheal Wade,MIC819,04/17/2010,,Yes
15,Joseph Price,JOS217,02/19/2004,,Yes
15,Jordan Martin,JOR515,11/07/2000,,No
15,Sarah Massey,SAR358,01/22/2016,,No
15,Julia Parsons,JUL599,09/17/2003,,Yes
15,Anthony Webb,ANT968,01/22/2009,,Yes
15,Justin Saunders,JUS302,02/24/2001,,No
15,Jason Bell,JAS236,05/24/2010,,No
15,Michael Sullivan,MIC722,06/19/2015,,Yes
15,Aaron Powell,AAR720,05/20/2009,,No
15,Zachary Harris,ZAC552,03/23/1996,,Yes
15,Darren Simon,DAR818,02/11/2016,,Yes
15,Christina Thomas,CHR562,12/18/2010,,Yes
15,Denise Kerr,DEN489,03/13/2011,,No
15,Carolyn Estrada,CAR658,04/20/2002,,No
15,Danny Woods,DAN274,03/01/2023,,No
15,Brianna Taylor,BRI789,02/03/2009,,Yes
15,Clayton Thompson,CLA762,11/09/1995,,Yes
15,Julie Martinez MD,JUL800,07/02/2006,,No
15,Angela Perez,ANG147,01/03/2000,,No
15,Amanda Brown,AMA409,01/28/1992,,No
15,Rebecca Berry DDS,REB692,02/16/2013,,No
15,Anthony Jackson,ANT900,10/21/2007,,No
15,Jeffrey Wilson,JEF252,02/01/1992,,Yes
15,Kathleen Hayes,KAT583,06/21/2009,,Yes
