business_id,transaction_id,transaction_date,transaction_type,amount,created_date,created_user,account,a/r_paid,a/p_paid,due_date,open_balance,po_status,estimate_status,customer_name,vendor_name,product_service,quantity,rate,credit,debit,sale,purchase,billable,invoiced,cleared,payment_method,misc_(business_specific_fields)
14,79851,2006-07-31,Credit Card Expense,50617.44,2007-05-04,Oscar Leonard,Accounts Receivable (A/R),Paid,,2008-04-20,44678.74,,,Mark Johnson,,,,,,50617.439999999995,Yes,No,No,,,Check,
14,79851,2006-07-31,Credit Card Expense,50617.44,2007-05-04,Oscar Leonard,Project planning and economic assessments,Paid,,2008-04-20,44678.74,,,Mark Johnson,,Project assessments,51,199.06,10152.06,,Yes,No,No,,,Check,
14,79851,2006-07-31,Credit Card Expense,50617.44,2007-05-04,Oscar Leonard,Other Income,Paid,,2008-04-20,44678.74,,,Mark Johnson,,,40,18.6,744.0,,Yes,No,No,,,Check,
14,79851,2006-07-31,Credit Card Expense,50617.44,2007-05-04,Oscar Leonard,Feasibility studies,Paid,,2008-04-20,44678.74,,,Mark Johnson,,Environmental impact assessment,92,431.64,39710.88,,Yes,No,No,,,Check,
14,79851,2006-07-31,Credit Card Expense,50617.44,2007-05-04,Oscar Leonard,Arizona Dept. of Revenue Payable,Paid,,2008-04-20,44678.74,,,Mark Johnson,,,,0.08,10.5,,Yes,No,No,,Uncleared,Check,
14,80413,1997-09-02,Bill,50617.44,1998-02-27,Oscar Leonard,Accounts Receivable (A/R),Paid,,1998-06-16,39118.5,,,Ashley Rodriguez,,,,,,50617.439999999995,Yes,No,No,,,Check,
14,80413,1997-09-02,Bill,50617.44,1998-02-27,Oscar Leonard,Project planning and economic assessments,Paid,,1998-06-16,39118.5,,,Ashley Rodriguez,,Project assessments,51,199.06,10152.06,,Yes,No,No,,,Check,
14,80413,1997-09-02,Bill,50617.44,1998-02-27,Oscar Leonard,Refunds-Allowances,Paid,,1998-06-16,39118.5,,,Ashley Rodriguez,,,40,18.6,744.0,,Yes,No,No,,,Check,
14,80413,1997-09-02,Bill,50617.44,1998-02-27,Oscar Leonard,Installation,Paid,,1998-06-16,39118.5,,,Ashley Rodriguez,,Installation,92,431.64,39710.88,,Yes,No,No,,,Check,
14,80413,1997-09-02,Bill,50617.44,1998-02-27,Oscar Leonard,Arizona Dept. of Revenue Payable,Paid,,1998-06-16,39118.5,,,Ashley Rodriguez,,,,0.08,10.5,,Yes,No,No,,Uncleared,Check,
14,81179,1995-11-07,Expense,50617.44,1996-04-06,Oscar Leonard,Accounts Receivable (A/R),Paid,,1996-12-12,14969.7,,,Charles Warren,,,,,,50617.439999999995,Yes,No,No,,,American Express,
14,81179,1995-11-07,Expense,50617.44,1996-04-06,Oscar Leonard,Job Materials,Paid,,1996-12-12,14969.7,,,Charles Warren,,,51,199.06,10152.06,,Yes,No,No,,,American Express,
14,81179,1995-11-07,Expense,50617.44,1996-04-06,Oscar Leonard,Feasibility studies,Paid,,1996-12-12,14969.7,,,Charles Warren,,Environmental impact assessment,40,18.6,744.0,,Yes,No,No,,,American Express,
14,81179,1995-11-07,Expense,50617.44,1996-04-06,Oscar Leonard,Decks and Patios,Paid,,1996-12-12,14969.7,,,Charles Warren,,,92,431.64,39710.88,,Yes,No,No,,,American Express,
14,81179,1995-11-07,Expense,50617.44,1996-04-06,Oscar Leonard,Arizona Dept. of Revenue Payable,Paid,,1996-12-12,14969.7,,,Charles Warren,,,,0.08,10.5,,Yes,No,No,,Uncleared,American Express,
14,77738,2009-02-27,Check,50617.44,2009-08-07,Oscar Leonard,Accounts Receivable (A/R),Paid,,2010-01-15,39004.05,,,Darren Berry,,,,,,50617.439999999995,Yes,No,No,,,Cash,
14,77738,2009-02-27,Check,50617.44,2009-08-07,Oscar Leonard,Uncategorized Income,Paid,,2010-01-15,39004.05,,,Darren Berry,,,51,199.06,10152.06,,Yes,No,No,,,Cash,
14,77738,2009-02-27,Check,50617.44,2009-08-07,Oscar Leonard,Billable Expense Income,Paid,,2010-01-15,39004.05,,,Darren Berry,,,40,18.6,744.0,,Yes,No,No,,,Cash,
14,77738,2009-02-27,Check,50617.44,2009-08-07,Oscar Leonard,Discounts given,Paid,,2010-01-15,39004.05,,,Darren Berry,,,92,431.64,39710.88,,Yes,No,No,,,Cash,
14,77738,2009-02-27,Check,50617.44,2009-08-07,Oscar Leonard,Loan Payable,Paid,,2010-01-15,39004.05,,,Darren Berry,,,,0.08,10.5,,Yes,No,No,,Uncleared,Cash,
