business_id,customer_name,customer_full_name,billing_address,billing_city,billing_state,billing_zip_code,shipping_address,shipping_city,shipping_state,shipping_zip_code,balance
14,Michael Hebert,Michael Hebert,69536 Torres Forge Apt. 210,Wesleyton,VI,39420,3877 Cheryl Mountains Suite 578,East Logan,MA,40230,
14,Taylor Archer,Taylor Archer,1531 Smith Stream Suite 357,South Jesus,OK,30248,1864 Shelly Ramp Apt. 265,Mariahborough,FL,5706,
14,William Jefferson,William Jefferson,137 Zachary Square Apt. 574,West Karen,AZ,61170,041 Erin Islands,Lake Daniellemouth,CO,81469,
14,Donald Guerra,Donald Guerra,USNS Thomas,FPO,AP,92296,4548 Neal Overpass,East Michellehaven,CT,35726,
14,Jessica Brooks,Jessica Brooks,2133 Michael Turnpike,Morrisonland,FM,74870,09645 Durham Prairie,Christopherland,FL,71342,
14,Amber Nichols,Amber Nichols,448 Denise Mill,Smithshire,MD,57881,"PSC 2942, Box 1737",APO,AE,80606,
14,Taylor Hall,Taylor Hall,9938 Julia Freeway,North Eduardo,LA,51003,3655 Garcia Key,Joelport,TN,29668,
14,Diana Davis,Diana Davis,27102 Charles Flats,Bennettfurt,NJ,77443,Unit 1119 Box 2016,DPO,AE,45926,
14,Judith Stewart,Judith Stewart,059 Good Summit,Martinfurt,AZ,29538,85246 Stevenson Drives,South Lydia,PR,47429,
14,James Krause,James Krause,03361 Harris Parkway Apt. 737,Lake Phyllismouth,MP,73759,4443 Singh Flat Suite 936,East Courtney,KS,82117,
14,Terry Bradford,Terry Bradford,37908 Hubbard Parkways,Mercadohaven,AK,14630,588 Novak Coves Apt. 920,West Lindachester,GU,18346,
14,Jesus Jones,Jesus Jones,38800 Martin Park,Sandratown,IN,10774,11322 Olsen Branch Suite 710,Davidfurt,GA,71127,
14,Joshua Hernandez,Joshua Hernandez,46430 Allen Crossing,East Heidiberg,AL,91375,8424 Jeffrey Key,Jacobview,NC,31325,
14,Karen Parks,Karen Parks,083 Sandoval Ports,Moralesfort,SC,11375,USNV Jacobs,FPO,AA,87570,
14,Hannah Hogan,Hannah Hogan,13697 Jamie Springs Apt. 145,Mossland,MH,67041,60242 Romero Trace Suite 606,Port Richardport,WI,28569,
14,Amy Padilla,Amy Padilla,10991 Simmons Pass,South Todd,KS,46584,"PSC 6041, Box 3060",APO,AA,7280,
14,Raymond Gallegos,Raymond Gallegos,55941 Roberson Brooks,Oscarfort,MO,77962,5736 Angelica Wall,Lake Michaelburgh,DE,58990,
14,David Ramos,David Ramos,1587 Jason Shores Apt. 010,South Timothy,WY,92756,86962 Micheal Isle,Port Adam,MN,73995,
14,Jessica Acosta,Jessica Acosta,086 Anna Islands,Warrenhaven,OK,24961,31198 Christopher Crescent Suite 003,West Nicholasmouth,MT,88047,
14,Michelle Wilson,Michelle Wilson,7958 Kelsey Village Suite 356,New Lindsey,NH,72562,93917 Ronnie Run,Port Dawn,UT,73909,
14,Bobby Ramirez,Bobby Ramirez,379 Lauren Meadows Suite 833,Mccarthyton,MO,19137,182 Werner Underpass Apt. 197,Walkerside,DE,76503,
14,Pamela Adkins,Pamela Adkins,415 Gonzales Ports Apt. 154,Vargasberg,MO,5633,35091 John Burg,Burnettville,HI,75403,
