business_id,employee_name,employee_id,hire_date,billing_rate,deleted
14,Elizabeth Cherry,ELI578,06/06/2018,,Yes
14,Phillip Mullen,PHI242,03/28/1990,,No
14,Stanley Edwards,STA912,12/21/2014,,Yes
14,Anthony Smith,ANT250,09/18/2021,,Yes
14,Sheryl James,SHE405,10/23/1990,,Yes
14,Laura Lawson,LAU788,04/06/2009,,No
14,Mary Torres,MAR390,04/18/1997,,Yes
14,Elizabeth Kennedy,ELI352,12/19/2003,,No
14,Paul Hernandez,PAU621,03/16/1995,,No
14,Wanda Shaw,WAN137,05/01/2006,,Yes
14,Nathan Weiss,NAT252,02/04/1992,,No
14,Rhonda Chen,RHO501,08/19/2017,,No
14,Seth Salazar,SET708,04/14/2004,,No
14,Jason Powers,JAS741,11/28/2019,,No
14,Jamie Johnson,JAM353,12/20/1995,,Yes
14,Carol Miller,CAR263,07/06/2001,,No
14,Melanie Johnson,MEL384,03/11/2018,,No
14,Kathleen Chavez,KAT905,10/11/2018,,Yes
14,Steven Edwards,STE854,09/06/2007,,Yes
14,Gary Mccoy,GAR897,11/08/2010,,No
14,Alexander Mckinney,ALE854,08/10/2011,,Yes
14,Kimberly Williams,KIM400,05/06/2004,,Yes
14,Sarah Curtis,SAR127,01/11/2005,,No
14,Matthew Fleming,MAT545,01/01/1996,,Yes
14,Rachel Anderson,RAC559,06/04/1999,,No
14,Heidi Gomez,HEI383,01/11/2005,,No
14,Jamie Johnson,JAM445,12/27/2021,,No
14,Keith Obrien,KEI319,03/24/2009,,Yes
14,Jeffrey Thompson,JEF714,09/08/1999,,No
14,Alex Alexander,ALE208,01/02/1994,,No
14,John Dunn,JOH425,02/06/2005,,Yes
14,Terri Huang,TER840,01/18/2019,,No
14,Elizabeth Melton,ELI783,12/15/2020,,No
14,Whitney Rodriguez,WHI194,09/20/1998,,Yes
14,Christy Mcdonald,CHR759,02/28/2008,,Yes
14,Lisa Welch,LIS482,10/26/1997,,No
14,Traci Roberts,TRA277,05/04/1993,,No
14,Tammy Johnson,TAM704,09/24/2002,,Yes
14,Steven Collins,STE926,08/15/1995,,Yes
14,Daniel Benton,DAN513,06/03/2019,,No
14,Michele Booker,MIC609,07/12/2000,,Yes
14,Steven Nguyen,STE654,02/17/2006,,No
14,Erica Roach,ERI102,12/16/2008,,Yes
14,Jorge Jacobs,JOR880,08/15/2008,,Yes
14,James Mccormick,JAM939,10/18/2022,,No
14,Melissa Munoz,MEL732,07/18/1990,,No
14,Tina Jones,TIN475,10/28/2006,,No
14,Janet Bailey,JAN726,07/11/2015,,No
14,Jorge Smith,JOR227,11/17/2007,,No
14,Daniel King,DAN777,11/01/2020,,Yes
14,Tasha Mckee,TAS350,03/25/2001,,No
14,Jordan Terry,JOR371,02/17/2015,,Yes
14,Benjamin Williamson,BEN793,06/07/1996,,Yes
14,Tabitha Jones,TAB993,02/16/1991,,Yes
14,Carolyn Pearson,CAR510,03/01/2007,,No
14,James Reeves,JAM303,05/20/2015,,Yes
14,Wendy Page,WEN852,05/05/2012,,No
14,Charles Knight,CHA645,05/17/2000,,No
14,Ashley Miller,ASH535,03/08/1992,,Yes
14,Jesse Medina,JES428,06/19/2007,,No
14,Veronica Rodgers,VER556,02/25/2022,,No
14,Wesley Rowe,WES130,07/27/2018,,Yes
14,Sandy Ward,SAN382,07/25/2004,,No
14,Elizabeth Carter,ELI844,08/14/2023,,No
14,Stephanie Martinez,STE738,02/26/2001,,Yes
14,Amanda Vance,AMA393,11/12/2008,,Yes
14,Carmen Davis,CAR936,07/06/2015,,Yes
14,Rebecca Lynch,REB818,10/26/2009,,Yes
14,Robert Green,ROB633,01/05/1992,,Yes
14,Crystal Peterson,CRY464,06/10/2011,,Yes
14,Jeffrey Rubio,JEF448,08/16/2005,,No
14,Stephanie Miller,STE453,01/12/2009,,No
14,Dr. Jessica Higgins PhD,DR.353,01/28/2022,,Yes
14,Alexis Hahn,ALE911,05/08/1991,,No
14,Luis Harris,LUI993,12/08/2003,,Yes
14,Brittany Peterson,BRI142,01/02/2003,,Yes
14,Tonya Carroll,TON266,12/03/2023,,Yes
14,Jamie Wade,JAM775,01/01/2017,,No
14,Paul Barnes,PAU572,01/08/2023,,No
14,Joseph Cannon,JOS633,11/01/2021,,No
14,Jerry Rivera,JER938,08/03/1992,,Yes
14,Courtney Lang,COU464,08/27/1998,,Yes
14,Jason Patton,JAS539,03/28/2005,,Yes
14,Jennifer Bennett,JEN578,08/04/2022,,No
14,Charles Bush,CHA500,08/07/2011,,Yes
14,Michael Martinez,MIC815,08/12/2005,,Yes
14,William Flynn,WIL620,07/13/1992,,Yes
14,Brian Gill,BRI812,01/11/2023,,Yes
14,Gerald Fowler,GER976,01/15/2011,,Yes
14,Scott Strickland,SCO722,05/14/2006,,Yes
14,Lori Cruz,LOR590,05/10/2008,,No
14,Brandon Goodwin,BRA847,09/23/2011,,Yes
14,Ashley Kelly,ASH805,12/26/2013,,No
14,Kristin Brown,KRI612,06/08/2018,,No
14,Heather Parker,HEA115,04/24/1995,,Yes
14,Christopher Lamb,CHR966,02/12/2003,,Yes
14,Kristen Ruiz,KRI906,11/26/2000,,Yes
14,Mariah Adams,MAR865,12/11/2022,,No
14,Jose Rosario,JOS272,06/22/2018,,Yes
14,Christopher Phillips,CHR848,01/16/2013,,Yes
